reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
765d2124-4c1c-4460-a60e-a2369072cf69,Agie Grenaldy,https://play-lh.googleusercontent.com/a-/ALV-UjXVgNkZKlHhJ7JBlBENZJ_yjyTqxTTMwd5gmcwFfp3oNml9on2M,"Tolong bantuannya, saya tidak bisa cek riwayat transaksi. Menu Aktivitas tidak berfungsi sama sekali, muter muter loading di tunggu berjam jam tetep gak mbuka. Upaya yang sdh saya lakukan bersihkah chace, data sudah. Upgrade juga sudah ke versi yg terbaru, jaringan sangat bagus. bahkan sudah unistal hingga instal ulang tetep gak berhasil untuk buka menu Aktivitas. Mohon bantuannya sangat. Terjadi seperti ini sudah seminggu, tolong dong Dana perbaiki",2,513,2.69.0,2024-11-28 00:12:02,,,2.69.0
0181cba3-2601-4271-9c66-38412e4752e9,artantia wulan,https://play-lh.googleusercontent.com/a-/ALV-UjUGI3wegmwb-FRlIox4TgF1--Aq4mbJh0IJiPgCZGYv5YwCLKQi,"Yang mau instal apk ini mending mikir"" lagi, apalagi ini apk buat transaksi. Saya pakai ini berjalan 1 tahun normal"" saja. Baru hari ini tadi tiba"" saldo saya hilang. Ada notifikasi pembayaran tanpa konfirmasi pin sama sekali. Sya liat di Riwayat transaksi tidak tertera jelas pembayaran apa. MAU INSTAL PIKIR"" LAGI DULU!!!!",1,175,2.69.1,2024-12-10 09:51:25,,,2.69.1
59208e0c-774c-42ce-b940-5ecc7c486df5,Noviana Pujiansyah,https://play-lh.googleusercontent.com/a-/ALV-UjWPu-Xl1-A3fczWgFeAXN3te_ofAQNLieoB2ntzFaWzelXqyHDCYw,"suka bangettt sama aplikasi ini memudahkan penggunanya 😊😊 Mungkin kedepannya untuk setiap transaksi ,keamanan sandi bisa di tambah dengan deteksi wajah ... Agar lebih aman, karena transaksi bisa terjadi kapan aja apalagi kalau sandi tersimpan otomatis, jadi ada verivikasi wajah nya juga agar lebihh aman n",5,1443,2.69.0,2024-12-04 21:49:47,"Hi Kak, terima kasih ya sudah mempercayakan DANA sebagai metode pembayaran. Yuk nikmati promo2 yang kami sediakan Kak, untuk informasi lengkapnya cek di link berikut ini ya dana.id/promo. Thanks -DC-",2022-12-06 04:06:45,2.69.0
a7571644-8f7b-4500-ad33-0f73b779cd4a,Sartika Nuryani,https://play-lh.googleusercontent.com/a/ACg8ocIs4CRzgedfZ_bydGwOsmkqOcdcOCxsVPNmxqV3sUGMMc67jg=mo,"Kenapa menggunakan data seluler pribadi pasti muncul tulisan tidak ada koneksi internet/koneksi internet terputus,padahal kuota saya masih banyak.Tolong gimana caranya agar bisa transaksi menggunakan data seluler pribadi lagi🙏tapi kalau pakai hospot/wifi bisa",4,1524,2.69.1,2024-12-07 14:51:57,,,2.69.1
8f54dc69-d1e2-4d77-b0a6-1f9792fe190b,rofi .hachola,https://play-lh.googleusercontent.com/a/ACg8ocIjwF-JqVMQ-tcPXQe9wcohXWcctszSoS9OVC8h7-xfcvO_5A=mo,"gak jelasssss, dulu pakai data seluler bisa transfer, tarik uang, dll, tapi sekarang setiap login pakai data seluler, ada kalimat ""koneksi internetmu terputus nih"", jadi gak bisa TF dan tarik uang dimana saja, cuman bisa pas pakai wifi, lu pikir tiap mau narik atau transaksi harus bawa wifi kah. tolong dong di benarkan itu kendala nya, saya sudah 3 bulan ini kesulitan, sebelumnya aman aman aja.",1,20,2.70.0,2024-12-14 07:13:46,,,2.70.0
7899c62b-8ec4-4ad3-9196-6f7555927fca,Kipas angin,https://play-lh.googleusercontent.com/a/ACg8ocIO5-Wm8SO3Uez6iqZe-OHrL0hY7Z_jo26A7hEby6dqLlVqVw=mo,HAI min aku mau kasih tahu ada masalah di bagian verifikasi wajah udah berapa kali coba di pencahayaan yang terang sampai di bawah lampu tapi tetep sajah hasil nya nggak bisa dengan alasan pencahayaan kurang tolong di perbaikin. Padahal udah lama menggunakan aplikasi dana karena lebih mudah untuk transfer. Semoga bisa di jawab oleh mimin dana🙏,5,357,2.70.0,2024-12-11 11:52:36,,,2.70.0
a3af98ed-7519-4684-bb07-aacb15c08249,Kebayoran Baru,https://play-lh.googleusercontent.com/a/ACg8ocJCiX4zp26DY_9x20FBI0st4VscooeeCyVPCKX4-8EVXwXQ2A=mo,"Aplikasi dana makin lama semakin parah, tombol kirim ke teman sudah tidak ada, sangat sangat parah, harus hapus instal hapus instal baru ada muncul menu kirim teman nya, parah parah, tolong perbaiki lagi program nya, ini klu kita mau kirim ke teman sesama ewallet gmna?????",1,41,2.70.0,2024-12-11 03:22:54,,,2.70.0
0a9d0c10-e45d-4f16-b2ff-d238b5e44c47,bazol kimkim,https://play-lh.googleusercontent.com/a/ACg8ocIQpXfJ14pF-BmTxlQoID5iqqcfbVwwp00HhFHiv4A-2OMI8A=mo,"aplikasi gak ada guna banyak bug , cs gak ada yang becus apa apa di persulit aplikasi macam apa ini padahal data udah jelas , mau nya simple malah di bikin ribet , contoh kode OTP gak bisa di kirim melalui SMS padahal nomor masih aktif , laporan pergantian nomor juga di persulit sangat tidak rekomendasi aplikasi ini",1,331,2.69.0,2024-11-27 09:34:53,,,2.69.0
3e8c80bf-304d-4fe9-bdf1-e7bc27ab6c0e,Adek Maryati,https://play-lh.googleusercontent.com/a/ACg8ocIrnsheuv8pne5LFKcIUiWF2orLNb5Rh7i2OatLGZ17Z3pCAQ=mo,"Sebenarnya saya sdh nyaman memakai aplikasi ini,tetapi belakangan ini saldo saya sdh 2 kali terpotong dan setelah saya complain,cs ny bilang transaksi nya normal,pin hanya saya yg tau,saya tdk pernah meng-klik tautan,tdk prnah terima otp,dan transaksi terjadi ketika hp saya sdg d charge dan aplikasi nya pun letaknya saya sembunyikan dalam file yg jrg saya buka,jd kecil kemungkinan aplikasi terbuka secara tdk sengaja",1,156,2.69.1,2024-12-05 08:47:55,,,2.69.1
d6869e54-3d66-4b0c-98b5-159cf40f9887,Maya Cantikk,https://play-lh.googleusercontent.com/a/ACg8ocKSOcgkP_2RdnAuKHfCZBrGG7fGfs5G3A4MmUh0CGGafH9k9g=mo,"Kenapa sekarang dana jadi gini si,,, Dulu daftar dana mudah bgt skrng susah bgt baru bisa transaksi ketika dana dijadikan premium!! Sedangkan untuk dijadikan premium butuh wktu 2hari prosesnya sedangkan kita (pengguna) bth sekarang untuk dibuat transaksi!!!",2,9,2.70.0,2024-12-14 11:43:07,,,2.70.0
